CST1;CST2;CST3;CST4;CST5;CST6;CST7;Shareable Sample Name;Acinetobacter johnsonii;Acinetobacter lwoffii;Anaerococcus unclassified;Corynebacteriaceae unclassified;Corynebacterium kroppenstedtii;Corynebacterium tuberculostearicum;Corynebacterium tuberculostearicum C<0.8;Corynebacterium unclassified;Corynebacterium unclassified C<0.8;Dolosigranulum unclassified;Enterobacteriaceae unclassified C<0.8;Averyella C<0.8;Erwinia C<0.8;Leclercia C<0.8;Klebsiella C<0.8;Proteus unclassified;Proteus vulgaris;Proteus vulgaris C<0.8;Raoultella C<0.8;Serratia marcescens;unclassified Escherichia;Finegoldia unclassified;Moraxella unclassified;Moraxellaceae unclassified;Moraxellaceae unclassified C<0.8;Peptoniphilus asaccharolyticus;Propionibacterium acnes;Propionibacterium granulosum;Pseudomonas unclassified;Psychrobacter unclassified;Simonsiella unclassified;Simonsiella unclassified C<0.8;Staphylococcus aprophyticus C<0.8;Staphylococcus aureus;Staphylococcus aureus C<0.8;Staphylococcus auricularis C<0.8;Staphylococcus capitis C<0.8;Staphylococcus caprae C<0.8;Staphylococcus epidermidis;Staphylococcus epidermidis C<0.8;Staphylococcus haemolyticus C<0.8;Staphylococcus hominis C<0.8;Staphylococcus lugdunensis;Staphylococcus lugdunensis C<0.8;Staphylococcus pasteuri C<0.8;Staphylococcus pettenkoferi C<0.8;Staphylococcus warneri C<0.8;Stenotrophomonas unclassified;Streptococcus unclassified;Streptococcus unclassified C<0.8
0;0;1;0;0;0;0;GWU_60;0;0;0;0;0;0;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;11;0;0;0;0;0;0;0;1;0;1;0;16;8;0;1;0;0;3;0;2;0;0;0
0;0;1;0;0;0;0;GWU_61;6;6;4;0;10;1;3;209;17;83;0;2;15;3;9;0;0;0;3;0;0;6;0;0;0;15;152;2;2;0;8;10;2;0;0;0;0;4;166;99;2;4;0;3;41;1;28;151;13;5
0;0;1;0;0;0;0;GWU_62;3;0;4;38;0;3;32;44;63;0;0;0;8;0;1;0;0;0;0;0;0;2;0;0;0;2;168;6;0;0;0;0;0;0;0;0;11;7;195;127;1;0;0;1;4;7;30;35;1;1
0;0;1;0;0;0;0;GWU_63;0;0;2;0;0;0;11;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;92;0;0;0;0;0;296;3;11;1;26;47;905;205;20;261;0;49;23;17;74;0;6;6
0;0;1;0;0;0;0;GWU_64;0;0;0;0;0;0;7;67;5;0;0;0;0;0;0;0;0;0;0;0;562;11;0;0;0;0;1;0;0;0;0;0;0;0;3;0;6;13;455;178;9;3;0;4;18;3;34;0;0;0
0;0;1;0;0;0;0;GWU_65;1;0;4;0;0;3;1;31;10;9;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;20;220;0;0;0;0;4;0;0;2;0;7;4;148;63;2;11;2;0;7;2;7;0;1;1
0;0;1;0;0;0;0;GWU_66;0;0;8;8;46;2;33;96;25;257;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;13;184;5;0;0;6;86;0;63;74;10;23;16;454;142;5;4;0;7;7;4;41;0;1;2
0;0;1;0;0;0;0;GWU_67;15;0;1;0;0;7;6;261;75;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;2;65;0;0;1;2;31;2;88;135;15;25;11;212;223;10;62;0;15;12;11;37;20;15;10
0;0;1;0;0;0;0;GWU_68;0;2;2;0;3;1;2;0;15;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;1;13;0;0;1;2;42;3;342;603;92;28;19;616;496;13;7;0;17;12;15;70;9;0;0
0;0;1;0;0;0;0;GWU_69;0;0;34;0;2;1;25;2;13;5;0;0;22;2;10;0;0;0;0;0;0;5;97;0;0;50;135;8;0;0;0;0;0;10;12;11;9;13;85;144;10;11;0;1;0;2;9;145;8;7
0;0;1;0;0;0;0;GWU_70;0;0;2;7;0;1;20;1;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;51;0;0;0;0;0;1;34;16;0;6;5;162;48;0;6;4;1;2;1;16;0;0;0
