,agreement,ars,block_sizes,dataset_name,dataset_type,Lower bound,max_order,Number of cuts,order_best,p,percentile_orders,preprocessing_name,q,seed,unique_id
6537,50.0,0.0,"[100, 100]",sbm,graph,0.2,5359.0,50.0,3439.0,0.28,100.0,fid_mat,0.87,42.0,1589802894
6538,50.0,1.0,"[100, 100]",sbm,graph,0.4,7108.0,50.0,5495.0,0.87,100.0,fid_mat,0.55,42.0,1589802894
6539,50.0,0.0,"[100, 100]",sbm,graph,0.3,6192.0,50.0,5414.0,0.55,100.0,fid_mat,0.78,42.0,1589802894
6540,50.0,1.0,"[100, 100]",sbm,graph,0.4,5787.0,50.0,3217.0,0.83,100.0,fid_mat,0.32,42.0,1589802894
6541,50.0,0.0,"[100, 100]",sbm,graph,0.2,5862.0,50.0,3896.0,0.32,100.0,fid_mat,0.92,42.0,1589802894
6542,50.0,0.0,"[100, 100]",sbm,graph,0.2,6923.0,50.0,4477.0,0.6,100.0,fid_mat,0.87,42.0,1589802894
6543,50.0,1.0,"[100, 100]",sbm,graph,0.3,4784.0,50.0,2798.0,0.69,100.0,fid_mat,0.28,42.0,1589802894
6544,50.0,0.4398083816111453,"[100, 100]",sbm,graph,0.4,3274.0,50.0,2651.0,0.37,100.0,fid_mat,0.28,42.0,1589802894
6545,50.0,0.0,"[100, 100]",sbm,graph,0.3,6312.0,50.0,5039.0,0.51,100.0,fid_mat,0.74,42.0,1589802894
6546,50.0,1.0,"[100, 100]",sbm,graph,0.4,5773.0,50.0,3217.0,0.83,100.0,fid_mat,0.32,42.0,1589802894
6547,50.0,0.9602,"[100, 100]",sbm,graph,0.4,2115.0,50.0,1401.0,0.28,100.0,fid_mat,0.14,42.0,1589802894
6548,50.0,0.0,"[100, 100]",sbm,graph,0.2,6659.0,50.0,3995.0,0.51,100.0,fid_mat,0.83,42.0,1589802894
6549,50.0,0.0,"[100, 100]",sbm,graph,0.4,4712.0,50.0,4033.0,0.23,100.0,fid_mat,0.69,42.0,1589802894
6550,50.0,0.0,"[100, 100]",sbm,graph,0.3,3961.0,50.0,3002.0,0.09,100.0,fid_mat,0.69,42.0,1589802894
6551,50.0,0.0,"[100, 100]",sbm,graph,0.3,3453.0,50.0,2612.0,0.05,100.0,fid_mat,0.64,42.0,1589802894
6552,50.0,0.0,"[100, 100]",sbm,graph,0.2,2730.0,50.0,1475.0,0.32,100.0,fid_mat,0.23,42.0,1589802894
6553,50.0,0.0,"[100, 100]",sbm,graph,0.2,4823.0,50.0,3137.0,0.41,100.0,fid_mat,0.55,42.0,1589802894
6554,50.0,0.0,"[100, 100]",sbm,graph,0.2,4246.0,50.0,2892.0,0.14,100.0,fid_mat,0.78,42.0,1589802894
6555,50.0,0.0,"[100, 100]",sbm,graph,0.4,5801.0,50.0,5154.0,0.41,100.0,fid_mat,0.74,42.0,1589802894
6556,50.0,0.0,"[100, 100]",sbm,graph,0.2,1640.0,50.0,1029.0,0.23,100.0,fid_mat,0.18,42.0,1589802894
6557,50.0,1.0,"[100, 100]",sbm,graph,0.2,2513.0,50.0,913.0,0.87,100.0,fid_mat,0.09,42.0,1589802894
6558,50.0,0.02474462799031656,"[100, 100]",sbm,graph,0.3,7174.0,50.0,5659.0,0.74,100.0,fid_mat,0.69,42.0,1589802894
6559,50.0,0.4199422074726496,"[100, 100]",sbm,graph,0.3,1380.0,50.0,832.0,0.18,100.0,fid_mat,0.09,42.0,1589802894
6560,50.0,0.0,"[100, 100]",sbm,graph,0.4,6780.0,50.0,6035.0,0.6,100.0,fid_mat,0.74,42.0,1589802894
6561,50.0,0.0,"[100, 100]",sbm,graph,0.2,1407.0,50.0,664.0,0.18,100.0,fid_mat,0.09,42.0,1589802894
6562,50.0,0.0,"[100, 100]",sbm,graph,0.3,3024.0,50.0,2527.0,0.32,100.0,fid_mat,0.37,42.0,1589802894
6563,50.0,0.0,"[100, 100]",sbm,graph,0.4,3005.0,50.0,2490.0,0.05,100.0,fid_mat,0.55,42.0,1589802894
6564,50.0,0.0,"[100, 100]",sbm,graph,0.3,3226.0,50.0,2402.0,0.14,100.0,fid_mat,0.51,42.0,1589802894
6565,50.0,0.0,"[100, 100]",sbm,graph,0.2,5454.0,50.0,3319.0,0.55,100.0,fid_mat,0.55,42.0,1589802894
6566,50.0,0.0,"[100, 100]",sbm,graph,0.3,6955.0,50.0,5518.0,0.51,100.0,fid_mat,0.87,42.0,1589802894
6567,50.0,1.0,"[100, 100]",sbm,graph,0.2,2524.0,50.0,913.0,0.41,100.0,fid_mat,0.09,42.0,1589802894
6568,50.0,0.0,"[100, 100]",sbm,graph,0.3,4373.0,50.0,3264.0,0.32,100.0,fid_mat,0.55,42.0,1589802894
6569,50.0,1.0,"[100, 100]",sbm,graph,0.2,3082.0,50.0,2323.0,0.78,100.0,fid_mat,0.23,42.0,1589802894
6570,50.0,1.0,"[100, 100]",sbm,graph,0.4,7133.0,50.0,5495.0,0.87,100.0,fid_mat,0.55,42.0,1589802894
6571,50.0,1.0,"[100, 100]",sbm,graph,0.4,6045.0,50.0,3740.0,0.83,100.0,fid_mat,0.37,42.0,1589802894
6572,50.0,1.0,"[100, 100]",sbm,graph,0.4,5742.0,50.0,4126.0,0.74,100.0,fid_mat,0.41,42.0,1589802894
6573,50.0,0.960200080403878,"[100, 100]",sbm,graph,0.3,2807.0,50.0,2807.0,0.46,100.0,fid_mat,0.28,42.0,1589802894
